PPR Rank,Player,Team,Position Rank
1,Jonathan Taylor,IND,RB1
2,Christian McCaffrey,CAR,RB2
3,Justin Jefferson,MIN,WR1
4,Cooper Kupp,LA,WR2
5,Ja'Marr Chase,CIN,WR3
6,Austin Ekeler,LAC,RB3
7,Stefon Diggs,BUF,WR4
8,Derrick Henry,TEN,RB4
9,Dalvin Cook,MIN,RB5
10,CeeDee Lamb,DAL,WR5
11,Najee Harris,PIT,RB6
12,Travis Kelce,KC,TE1
13,Davante Adams,LV,WR6
14,Saquon Barkley,NYG,RB7
15,Joe Mixon,CIN,RB8
16,Leonard Fournette,TB,RB9
17,Aaron Jones,GB,RB10
18,D'Andre Swift,DET,RB11
19,Mark Andrews,BLT,TE2
20,Tee Higgins,CIN,WR7
21,Deebo Samuel,SF,WR8
22,Tyreek Hill,KC,WR9
23,Javonte Williams,DEN,RB12
24,Alvin Kamara,NO,RB13
25,A.J. Brown,TEN,WR10
26,James Conner,ARZ,RB14
27,Travis Etienne,JAX,RB15
28,Mike Evans,TB,WR11
29,Kyle Pitts,ATL,TE3
30,D.J. Moore,CAR,WR12
31,Michael Pittman Jr.,IND,WR13
32,Keenan Allen,LAC,WR14
33,Nick Chubb,CLV,RB16
34,Mike Williams,LAC,WR15
35,Courtland Sutton,DEN,WR16
36,Marquise Brown,ARZ,WR17
37,Jaylen Waddle,MIA,WR18
38,Breece Hall,NYJ,RB17
39,Terry McLaurin,WAS,WR19
40,Darren Waller,LV,TE4
41,Josh Allen,BUF,QB1
42,Diontae Johnson,PIT,WR20
43,Cam Akers,LA,RB18
44,Ezekiel Elliott,DAL,RB19
45,George Kittle,SF,TE5
46,D.K. Metcalf,SEA,WR21
47,Allen Robinson II,LA,WR22
48,Michael Thomas,NO,WR23
49,Chris Godwin,TB,WR24
50,Brandin Cooks,HST,WR25
51,Rashod Bateman,BLT,WR26
52,Amon-Ra St. Brown,DET,WR27
53,Jerry Jeudy,DEN,WR28
54,Gabriel Davis,BUF,WR29
55,David Montgomery,CHI,RB20
56,Kyler Murray,ARZ,QB2
57,Lamar Jackson,BLT,QB3
58,JuJu Smith-Schuster,KC,WR30
59,Elijah Moore,NYJ,WR31
60,Darnell Mooney,CHI,WR32
61,Justin Herbert,LAC,QB4
62,Patrick Mahomes,KC,QB5
63,Elijah Mitchell,SF,RB21
64,DeVonta Smith,PHI,WR33
65,Adam Thielen,MIN,WR34
66,Jalen Hurts,PHI,QB6
67,Josh Jacobs,LV,RB22
68,A.J. Dillon,GB,RB23
69,J.K. Dobbins,BLT,RB24
70,Amari Cooper,CLV,WR35
71,Clyde Edwards-Helaire,KC,RB25
72,Antonio Gibson,WAS,RB26
73,Hunter Renfrow,LV,WR36
74,DeAndre Hopkins,ARZ,WR37
75,Drake London,ATL,WR38
76,Trey Lance,SF,QB7
77,Miles Sanders,PHI,RB27
78,Damien Harris,NE,RB28
79,Dalton Schultz,DAL,TE6
80,Tony Pollard,DAL,RB29
81,T.J. Hockenson,DET,TE7
82,Dallas Goedert,PHI,TE8
83,Kadarius Toney,NYG,WR39
84,Treylon Burks,TEN,WR40
85,Kareem Hunt,CLV,RB30
86,Chase Edmonds,MIA,RB31
87,James Cook,BUF,RB32
88,Cordarrelle Patterson,ATL,RB33
89,Joe Burrow,CIN,QB8
90,Tom Brady,TB,QB9
91,Russell Wilson,SEA,QB10
92,Christian Kirk,JAX,WR41
93,Skyy Moore,KC,WR42
94,Chris Olave,NO,WR43
95,Russell Gage,TB,WR44
96,Garrett Wilson,NYJ,WR45
97,Brandon Aiyuk,SF,WR46
98,Chase Claypool,PIT,WR47
99,Dak Prescott,DAL,QB11
100,Zach Ertz,ARZ,TE9
101,Devin Singletary,BUF,RB34
102,Robert Woods,TEN,WR48
103,Tyler Boyd,CIN,WR49
104,Tyler Lockett,SEA,WR50
105,Rashaad Penny,SEA,RB35
106,Dameon Pierce,HST,RB36
107,Kenneth Walker III,SEA,RB37
108,Melvin Gordon III,DEN,RB38
109,Dawson Knox,BUF,TE10
110,Rondale Moore,ARZ,WR51
111,Jakobi Meyers,NE,WR52
112,Allen Lazard,GB,WR53
113,Rhamondre Stevenson,NE,RB39
114,Marquez Valdes-Scantling,KC,WR54
115,Isaiah Spiller,LAC,RB40
116,Rachaad White,TB,RB41
117,Albert Okwuegbunam,DEN,TE11
118,Irv Smith Jr.,MIN,TE12
119,Jahan Dotson,WAS,WR55
120,Darrell Henderson,LA,RB42
121,Alexander Mattison,MIN,RB43
122,Michael Carter,NYJ,RB44
123,Matthew Stafford,DET,QB12
124,Aaron Rodgers,GB,QB13
125,Derek Carr,LV,QB14
126,Kirk Cousins,MIN,QB15
127,Nyheim Hines,IND,RB45
128,Jalen Tolbert,DAL,WR56
129,Kenneth Gainwell,PHI,RB46
130,Julio Jones,TB,WR57
131,Ronald Jones,TB,RB47
132,DeVante Parker,NE,WR58
133,Pat Freiermuth,PIT,TE13
134,Tyrion Davis-Price,SF,RB48
135,Kenny Golladay,NYG,WR59
136,Justin Fields,CHI,QB16
137,Jarvis Landry,NO,WR60
138,Hunter Henry,NE,TE14
139,David Njoku,CLV,TE15
140,Cole Kmet,CHI,TE16
141,Khalil Herbert,CHI,RB49
142,Tyler Allgeier,ATL,RB50
143,K.J. Hamler,DEN,WR61
144,Josh Palmer,LAC,WR62
145,Christian Watson,GB,WR63
146,Isaiah McKenzie,BUF,WR64
147,Jamaal Williams,DET,RB51
148,James Robinson,JAX,RB52
149,Wan'Dale Robinson,NYG,WR65
150,George Pickens,PIT,WR66
